DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,phrase,infrastructure monitoring,2-word phrase,27,42,64%,"Infrastructure Project Monitoring Online Computerised Monitoring System (OCMS) Portal Projects and Infrastructure Monitoring To ensure prompt monitoring of Central Sector infrastructure projects, MoSPI has formulated a Concept Note to bring",264502
,phrase,innovation rdi fund,3-word phrase,27,44,61%,,
,phrase,meity’s,1-word phrase,27,41,66%,"The Foundation commits to assisting the Ministry in establishing India as a global leader in AI-driven digital agriculture transformation, aligning with the MeitY’s National Plan for AI",252478
,phrase,multi model,2-word phrase,27,45,60%,IMD provides climate forecast for each month and season based on the dynamical multi model ensemble climate forecast system since 2021,252409
,phrase,provides real time,3-word phrase,27,40,68%,These sensors have been integrated with JJM dashboard and provides real time data of water service delivery,274809
,phrase,providing real,2-word phrase,27,42,64%,"Rukmani Riar Sihag, District Collector of Hanumangarh, Rajasthan, aims to facilitate farmers in Ganganagar district by providing real-time information about the status of the entire network of canals within the Gang Canal Irrigation System",253859
,phrase,providing real time,3-word phrase,27,42,64%,"The Garuda App, based on Artificial Intelligence and Internet of Things, starts providing real time alerts on connecting it to any CCTV",254117
,phrase,radars dwrs,2-word phrase,27,42,64%,,
,phrase,research across,2-word phrase,27,43,63%,"It will transparently seed, fund, and coordinate research across institutions in all disciplines in an integrated manner,"" he said",259324
,phrase,startups and innovators,3-word phrase,27,41,66%,iDEX under Defence Innovation Organisation has emerged as a front-runner in establishing the right kind of contact with the Startups and Innovators and has gained substantial traction in the Defence Startup Community,260549
,phrase,summit which,2-word phrase,27,40,68%,"A stall was setup by DARPG at the Global Partnership on Artificial Intelligence Summit which was held at Bharat Mandapam, New Delhi, from 12th to 14th December, 2023",252292
,phrase,terror financing,2-word phrase,27,43,63%,"Shri Shah added that the Modi government is strictly cracking down on terror financing, sealing and freezing assets of terrorists, and has also outlawed several terrorist organizations to crack down on them",252705
,phrase,unsc,1-word phrase,27,41,66%,"Russia appreciated India’s 2021-22 term as non-permanent member of the UN Security Council and India’s UNSC priorities and efforts towards reformed multilateralism, UN peacekeeping and counter-terrorism",256791
,phrase,weather radars dwrs,3-word phrase,27,42,64%,,
,phrase,weather updates,2-word phrase,27,43,63%,"From providing agricultural advisories to farmers to offering weather updates for aviation and defense personnel stationed in challenging terrains, IMD’s services have become indispensable",265993
,phrase,arr,1-word phrase,26,41,63%,Reduction of ACS-ARR gap to zero by FY 2024-25,251977
,phrase,completions,1-word phrase,26,43,60%,37 crore course completions,263542
,phrase,enabling digital,2-word phrase,26,40,65%,"It streamlines import and export clearances by enabling digital payments for associated charges like shipping fees, transportation costs, and container freight station fees",252965
,phrase,foundational pillars,2-word phrase,26,42,62%,She discussed the foundational pillars of the economy intricately,253180
,phrase,infosys,1-word phrase,26,43,60%,"Infosys Foundation Conservation of Vishnu Temple, Bateshwar, M",257481
,phrase,pm setu scheme,3-word phrase,26,42,62%,"Underlining that India offers countless opportunities for its youth, the Prime Minister highlighted the recent launch of the ₹60,000 crore PM Setu scheme aimed at linking numerous ITIs across the country with industry",277235
,phrase,president macron,2-word phrase,26,40,65%,The outcomes of the committee are expected to be endorsed during the upcoming meeting between Prime Minister Modi and President Macron on Republic Day on the 26 th of January,252541
,phrase,reskilling and upskilling,3-word phrase,26,40,65%,"This will require reskilling and upskilling, for which Ministry of Electronics and Information Technology (MeitY) has initiated ‘FutureSkills PRIME’ a programme for Re-skilling/Up-skilling of IT Manpower for Employability in 10 new/emerging",257369
,phrase,resource adequacy,2-word phrase,26,41,63%,"You have to add capacity, sign PPAs and ensure resource adequacy",252531
,phrase,setu scheme,2-word phrase,26,42,62%,"Underlining that India offers countless opportunities for its youth, the Prime Minister highlighted the recent launch of the ₹60,000 crore PM Setu scheme aimed at linking numerous ITIs across the country with industry",277235
,phrase,use of advanced,3-word phrase,26,40,65%,"Promoting the use of advanced agricultural technologies The Government promotes advanced agricultural technologies and practices including Kisan Drones, climate resilient varieties, integrated farming system models, micro-irrigation, precis",257780
,phrase,vistas,1-word phrase,26,43,60%,"We have a corridor now, from our land from our sea and Middle East which is already there; it will open vistas of economic opportunities for you! Our Constitution was plagued by Article 370, and the draconian Article 35A",252131
,phrase,weather monitoring,2-word phrase,26,41,63%,"To support Gati Shakti and Udaan Scheme , IMD has contributed significantly by ensuring safe aviation through Aviation Weather monitoring and forecasting for all 117 Airports",252409
,phrase,biosimilars,1-word phrase,25,41,61%,"The industry boasts of a diverse product portfolio encompassing generic drugs, bulk drugs, over-the-counter medications, vaccines, biosimilars, and biologics, establishing a strong global presence",266739
,phrase,enables seamless,2-word phrase,25,41,61%,"A pilot version of Integrated Geospatial Data Sharing Interface (GDI) has been developed by Indian Institute of Science, Bengaluru which enables seamless data sharing, access, and analysis for various applications",262879
,phrase,innovation challenges,2-word phrase,25,41,61%,This will enable them to actively participate in co-creating innovative solutions for urban governance through engagement in innovation challenges,252666
,phrase,learning pathways,2-word phrase,25,41,61%,"By integrating technologies like artificial intelligence, virtual reality and mixed reality into the Skill India ecosystem, we are democratizing access to cutting-edge technologies enabling personalized learning pathways for the youth of th",261077
,phrase,migration and mobility,3-word phrase,25,41,61%,"The two leaders called for an early implementation of the Migration and Mobility Agreement, which would facilitate mobility of professionals, skilled and semi-skilled workers, students, and researchers",256132
,phrase,rapidly changing world,3-word phrase,25,41,61%,"com/GfZHtzkaW2 — PMO India (@PMOIndia) January 10, 2024 In the rapidly changing world order, India is moving forward as 'Vishwa Mitra' pic",252226
,phrase,ready talent,2-word phrase,25,41,61%,These initiatives are aligned with Hon’ble PM Narendra Modi's vision to build an industry-ready and future-ready talent pool in Goa,252025
,phrase,satellite communications,2-word phrase,25,41,61%,"Collaborative projects will target deployable solutions, leveraging combined expertise in 5G, 6G, advanced cellular technologies, Software Defined Radios & Cognitive Radios, Satellite Communications, Antenna Design, Free Space Optics, and T",256383
,phrase,sector infrastructure,2-word phrase,25,41,61%,"Collaboration & Cooperation for Water Security, Integrated Water Resources Development & Management, Challenges in Water Sector Infrastructure, Risk and New Approaches to Climate Resilience, Groundwater Sustainability and Management, Water ",260017
,phrase,secure inclusive,2-word phrase,25,41,61%,"The Union Budget 2025-2026 promises to continue Government’s efforts to accelerate growth, secure inclusive development, invigorate private sector investments, uplift household sentiments, and enhance spending power of India’s rising middle",266786
,phrase,security climate,2-word phrase,25,41,61%,,
,phrase,technologies private,2-word phrase,25,40,62%,Startup Category City State 1 Axial Aero Private Limited AeroInnovate Award Medak Telangana 2 Country Clay (OPC) Private Limited Champions of Cultural Heritage North-East Delhi Delhi 3 Blackfrog Technologies Private Limited Excellence in Lo,252424
